Story_Num	Sentence_Num	Sentence
3	9	This day was even worse than the others.
3	10	No Good Samaritan had given her even a penny.
3	11	And she had no luck selling any matches that she carried in the old apron her grandmother had given her.
3	12	Poor little child, she looked the picture of misery.
3	13	On her long, fair hair, which hung in curls on her shoulders, the snowflakes kept landing, but she did not notice them as she shivered along.
3	14	She was losing strength and beginning to doubt she could weather this storm.
3	15	It was New Year's, and the girl asked herself why, as lights shone from every window, and the savory smell of roast goose crept out on the streets, she was outside all alone.
3	16	Exhausted, she finally sat down in a corner behind the little bakery.
3	17	She put a rag she had found over her legs to cover herself, but she could not keep off the cold.
3	18	The girl, who the night air had completely enveloped, dared not go home, for she had sold no matches.
3	19	Her father had been mean and moody ever since his wife had gone to meet her Maker.
3	20	He would certainly beat her, as he has done several times in the weeks past, because she had not earned any money today.
3	21	Besides, it was almost as cold at home as outside, for they had only a patchy roof to cover them.
3	22	The girl's little hands were almost frozen solid so she decided that a burning match might be of some good.
3	23	'Scratch!' sounded the match as she drew it out.
3	24	How it sputtered as it burnt!
3	25	It gave a warm, candle-like bright light that the girl hid from the world as she held her hand over it.
3	26	Why had no one wanted to buy even one match?
3	27	A wonderful light, it was really.
3	28	It seemed to the girl that she was sitting by a large iron stove, with polished brass feet and a brass ornament.
3	29	How the fire burned!
3	30	The girl was pleased and the fire actually seemed so warm that the child stretched out her feet as if to warm them, when suddenly the flame of the match went out.
3	31	It was a short, stubby match that the little girl next rubbed on the wall.
3	32	It burst into a flame, and lo and behold, the girl was transported from her dank city to a beautiful, sunny forest.
3	33	She heard the birds chirping and she was surrounded by wildflowers and birches as white as snow.
3	34	A little squirrel hid some food in the ground and scurried off into the underbrush.
3	35	The girl was curious, so she dug some squirrel food up to see what it was, but then she forgot to put it back.
3	36	The squirrel came back and looked in its hiding place, but the food was nowhere to be found.
3	37	Then the match went out, and it wasn't the forest that remained before her eyes.
3	38	It was only the thick, damp, cold wall.
3	39	The girl looked despondently into the sky that was now fully darkened and suddenly she saw a star fall, leaving behind it a bright streak of fire.
3	40	'Someone is dying,' thought the little girl.
3	41	It was her old grandmother, the one who had loved her the most, and the one who the girl used to visit every Sunday, who had told her that when a star falls, a soul leaves this earth.
3	42	It was her last match that the little girl now rubbed on the wall and the light again shone round her.
3	43	Her old grandmother in the brightness stood, loving in her appearance.
3	44	The girl understood her grandmother would soon disappear, but she tried to play for time.
3	45	'Grandmother,' cried the little one, 'O take me with you!
3	46	I know you will go away when the match burns out!'
3	47	The girl decided to light the whole bundle of matches, in order to keep her grandmother there.
3	48	The girl saw the matches glowed with a light that was brighter than the day, and her grandmother had never appeared so large or so beautiful as she did in the light of the little matches.
3	49	The grandmother then took the little girl in her arms, and they both flew upwards in brightness and joy far above the earth, where there was neither cold nor hunger, and the little girl felt safe and peaceful.
3	50	In the dawn of the morning there lay the poor little one, not frowning, but smiling and with a pale face leaning against the wall, frozen and stone dead.
3	51	'She tried to warm herself,' said some.
3	52	Children who saw her were asking their parents why no one helped the girl who they knew looked dirt poor and helpless.
3	53	Passersby who saw her sitting motionless wished they could have helped the girl, but their good intentions were a day late and a dollar short.
3	54	Other people suspected the girl had fallen asleep and frozen, but no one imagined what beautiful things she had seen, nor into what glory she had entered with her grandmother, on New Year's day.
4	1	Once upon a time the birds took it into their heads that they would like a master, and that one of their number must be chosen king.
4	2	A meeting of all the birds was called and though they understood the birds who were from the most distant lands would be unable to come, many birds came from faraway meadows and woods.
4	3	The eagle, who already thought himself the de facto king, arrived fashionably late.
4	4	It was a hawk who was most excited about the meeting, because he was the dark horse for king.
4	5	The small fry came too, and the robin, the bluebird, the owl, the lark, and the sparrow, who had only a chance in a million to be king, were all present at the meeting.
4	6	The cuckoo, who was almost not invited because his call so annoyed the other birds, came too.
4	7	It was the very little bird who had no name at all, however, that would end up overturning the balance of power among the birds.
4	8	That there would be great confusion and noise among the birds at the meeting was to be expected, given the sheer numbers of birds that have gathered.
4	9	There was piping, hissing, and clacking, but finally it was decided that the bird that could fly the highest should be king.
4	10	The little bird lay low near the eagle at first, but the eagle did not notice the bird hopping onto his back right as the competition was about to commence.
4	11	Into the air in a great flock all the birds flew when the signal was given.
4	12	The air was full of dust, and it seemed as if a black cloud were floating over the field.
4	13	You could hear the birds chirping and flapping from fields that were miles away.
4	14	The little birds that soon grew tired fell back quickly to earth.
4	15	The fact that the larger ones held out longer, and flew higher and higher, but the eagle flew highest of any, surprised no one.
4	16	Could anyone stop the eagle that seemed to be flying straight into the sun?
4	17	The other birds gave out one by one and when the eagle saw this he thought, 'What is the use of flying any higher?
4	18	This victory is in the bag and I am king!'
4	19	Then the birds below called with one accord, 'Come back, come back!
4	20	It is you who must be our king because no one can fly as high as you.'
4	21	'Except me!' cried a shrill, shrill voice, and out of the blue the little bird without a name rose from the eagle's back, where he had lain hidden in the feathers.
4	22	His guile was the ace up his sleeve, and he laughed to himself at how easy it had been to outwit the other birds.
4	23	Higher and higher he mounted, until he was lost to sight, and then folding his wings together, he sank to earth crying shrilly, 'I am king, I am king!'
4	24	The eagle tricked by the little bird had not sensed the bird in his feathers and so had not at all expected the bird to come flying out like that.
4	25	The birds back on earth were all up in arms.
4	26	'You, and not the eagle, our king?' the birds cried, fuming with anger.
4	27	'You have done this by breaking every rule in the book, so we will not have you, who are simply tricky and cunning, to reign over us.'
4	28	The bird without a name then decided to clear the air and said, 'Then let everyone start with a clean slate and perform a new challenging task.
4	29	Then we can decide who should be the real king.'
4	30	Then the birds gathered together again and decided the case would be resolved by making a new condition, which was that he should be king who could go the deepest into the earth.
4	31	So the little bird who the other birds despised was now back to square one.
4	32	Confident, he remained, however, that if he played his cards right, he could be king.
4	33	How the goose wallowed in the sand, and the duck strove to dig a hole for the new task!
4	34	All the other birds tried to hide themselves in the ground, too, until they were practically blue in the face.
4	35	The nameless little bird that was as bold as brass found a pitch dark mouse's hole, and creeping in cried, 'I am king, I am king!' but it was of no avail.
4	36	'You, our king?' all the remaining birds who the littlest bird had outwitted cried again, even more angrily than before.
4	37	'Do you think we would reward your cunning in this way? No, no!
4	38	You shall stay in the earth till you die of hunger!'
4	39	So they shut up the little bird in the mouse's hole that the mouse gave up most unwillingly, and bade the owl watch him carefully night and day.
4	40	Then all the birds went home to bed, for they were very tired, but the owl assigned by the birds to stand guard found his job was lonely and wearisome because he was just sitting alone staring at the mouse's hole.
4	41	'I can close one eye and watch with the other,' he thought.
4	42	So he closed one eye and stared steadfastly with the other, but before he knew it he forgot to keep that one open, and both eyes were fast asleep.
4	43	Then the little bird guarded by the owl peeped out, and when he saw the owl's two eyes tight shut, he slipped from the hole and flew away.
4	44	He wanted to shout, 'I am king' so that the owl could hear him as he flew, but thought better of it.
4	45	From this time on, the owl fooled by the little bird has not dared to show himself by day for fear the birds should beat the living daylights out of him.
4	46	He flies about only at nighttime, hating and pursuing not the bird, but the mouse for having made the hole into which the little bird crept.
4	47	And the little bird also keeps out of sight, for he fears that the other birds should punish him for his cunning.
4	48	The rejection by the other birds was a bitter pill to swallow for the nameless bird the owl had let slip away.
4	49	He hides in the hedges, and when he thinks himself quite safe, he sings out, 'I am king, I am king!'
4	50	And the other birds in mockery call out, 'Yes, yes, the hedge-king, the hedge-king!'
5	1	At ten years old, I could not figure out what it was that this Elvis Presley guy had that the rest of us boys did not have.
5	2	He seemed to be no different from the rest of us.
5	3	He was simply a man who had a head, two arms and two legs.
5	4	It must have been something pretty superlative that he had hidden away, because he had every young girl at the orphanage wrapped around his little finger.
5	5	At about nine o'clock on Saturday morning, I figured a good solution was to ask Eugene Correthers, who was one of the older and smarter boys, what it was that made this Elvis guy so special.
5	6	He told me that it was not anything about Elvis's personality, but his wavy hair, and the way he moved his body.
5	7	About a half an hour later, the boys in the orphanage called down to the main dining room by the matron were told that they were all going to downtown Jacksonville, Florida to get a new pair of Buster Brown shoes and a haircut.
5	8	That is when I got this big idea, which hit me like a ton of bricks.
5	9	If the Elvis haircut was the big secret, then Elvis's haircut I was going to get.
5	10	I was going to have my day in the sun, and all the way to town that was all I talked about.
5	11	The fact that I was getting an Elvis haircut, not just the simple fact that we were getting out of the orphanage, made me particularly loquacious.
5	12	I told everybody, including the orphanage matron I normally feared, that I was going to look just like Elvis Presley and that I would learn to move around just like he did and that I would be rich and famous one day, just like him.
5	13	The matron understood my idea was something that I was really excited about and said nothing.
5	14	When I got my new Buster Brown shoes, I was smiling from ear to ear.
5	15	Those shoes, they shined really brightly, and I liked looking at the bones in my feet, which I had never seen before, through a special x-ray machine they had in the shoe store that made the bones in your feet look green.
5	16	I was now almost ready to go back to the orphanage and practice being like the man who all the girls loved, since I had my new Buster Brown shoes.
5	17	It was the new haircut, though, that I needed to complete my new look.
5	18	We finally arrived at the unassuming, unembellished barbershop, where they cut our hair for free because we were orphans.
5	19	Even though we were supposed to slowly wait to be called, I ran straight up to one of the barber chairs and climbed up onto the board the barber placed across the arms to make me sit up higher.
5	20	I looked at the man and said, with a beaming smile on my face, 'I want an Elvis haircut.
5	21	Can you make my hair like Elvis's?' I asked.
5	22	The barber, who was a genial young man, grinned back at me and said that he would try his best.
5	23	I was so happy when he started to cut my hair, but just as he started to cut, the matron, who had been watching me and had a look as cold as ice, motioned for him to come over to where she was standing.
5	24	She whispered something into his ear that caused the barber to shake his head, like he was telling her, 'No'.
5	25	In response, the matron walked over to a little man sitting in an office chair that squeaked as it rolled around the floor and spoke to him.
5	26	It was the little man who then walked over and said something to the man who was cutting my hair.
5	27	The next thing I knew, the man who was cutting my hair told me that he was no longer allowed to give me an Elvis cut.
5	28	'Why not?' I cried desperately.
5	29	The kindly barber stopped by the matron did not answer, but from his expression, I could tell that he wished he could cut it as I had asked.
5	30	Within a few minutes, it wasn't an Elvis haircut, but a short buzz cut that the barber had given me.
5	31	When he finished shaving off all my hair and made me smell real good with his powder, the barber handed me a nickel and told me to go outside to the snack machine and buy myself a candy bar.
5	32	I handed him the nickel back and told him that I was not hungry.
5	33	'I'm so sorry, baby,' he said, as I climbed out of his barber chair.
5	34	'I am not a baby,' I said, as I wiped the tears from my eyes.
5	35	I then sat down on the floor and brushed away the hair that had accumulated on my shiny new Buster Brown shoes.
5	36	My head was no longer in the clouds, and I got up off the floor, brushed off my short pants, and walked sullenly towards the door.
5	37	The matron was smiling at me sort of funny like.
5	38	The barber upset by the matron said to her, 'You are just a damn bitch, lady.'
5	39	She yelled back at him at the top of her lungs, before walking toward the office, as fast as she could.
5	40	To show his anger, the man hit the wall with his hand and then walked outside where he stood against the brick wall, smoking a cigarette.
5	41	I understood right there my haircut was something that had been out of the power of the barber and then I slowly walked outside to join the man.
5	42	He looked down, smiled at me, then he patted me on the top of my bald as a coot head.
5	43	It was a fact of my life that I was not gonna have hair that was anything like Elvis's anytime soon.
5	44	I then looked up at the barber with my wet red eyes and asked, 'Do you know if Elvis Presley has green bones?'
6	1	This is a story of how Mr. Sticky got in Abby's fish tank.
6	2	'He's very small,' Abby's mom said as she peered at the tiny water snail.
6	3	Abby said that he would grow and then pulled her pajama bottoms up again before she got into bed, for they were always falling down.
6	4	Usually, Abby's mom got up at the crack of dawn, but it was Abby who jumped out of bed first the next morning and switched on the light in her fish tank, which contained three fish.
6	5	At first, she could see neither hide nor hair of the snail, but then she spotted him.
6	6	It had taken Abby a while to find Sticky because he was clinging to the glass near the bottom, right next to the gravel.
6	7	At school that day, Abby, encouraged by her teacher, wrote excitedly about the small and mysterious Mr. Sticky, who you could mistake for a piece of gravel.
6	8	He seemed an ideal pet for her, some of the girls in her class teased, because Abby was also very small.
6	9	That evening, Abby turned on the light and found Mr. Sticky clinging to the pond weed and bobbing about in the air bubbles.
6	10	'That looks fun!' Abby exclaimed.
6	11	She tried to imagine what it must be like to have to hang on to things all day and decided the answer was that it was probably very tiring.
6	12	Abby told her mom that she thought Sticky had grown a bit the next day at breakfast.
6	13	'Just as well if he's going to be gobbled up like that,' her mom responded who was busy preparing breakfast.
6	14	Abby whined that she didn't want him to get too big or he wouldn't be cute anymore.
6	15	'Small things, not big things, are cute, right?' she asked, half to herself.
6	16	The next day in art class, Abby needed two pieces of paper that were very expensive, to draw an elephant, but the teacher didn't mind Abby using the expensive paper because she was pleased with the drawing and wanted it on the wall.
6	17	The teacher, who was always very encouraging, remarked that the drawing Abby had made was very creative and beamed at Abby, giving her the seal of approval.
6	18	Back at home, Mom, convinced by Abby to clean out the tank, was cleaning with a special vacuum, or 'hoover'.
6	19	'Where's Mr. Sticky?' Abby asked first thing when she came home from school.
6	20	'On the side,' Mom replied.
6	21	And then she added, 'Don't worry.
6	22	I went extra slowly since it's better to be safe than sorry.'
6	23	Abby looked on all sides of the tank, but there was no sign of the water snail that she had discovered a couple of days ago.
6	24	She was very sad.
6	25	Her mom said to wait a few hours until the water clears to take another careful look.
6	26	That evening, Abby went up to her bedroom to check the tank again.
6	27	The water had settled and looked clear, but Abby could not see Mr. Sticky.
6	28	Abby kneeled down to have another look in the tank that her mom had cleared so thoroughly, but Mr. Sticky was still nowhere to be found.
6	29	Abby was a bundle of nerves as she descended the stairs.
6	30	In the study, surrounded by books and papers, her mom was working and she looked impatient when she saw Abby in the doorway and even more worried when she heard the bad news.
6	31	'He'll turn up,' Mom said, and that was that.
6	32	Then, to add fuel to the flames, she raised her tone of voice and said dismissively, 'For the time being, go to bed, Abby.
6	33	I've got masses of work to catch up on.'
6	34	Abby had a quick temper and she was angry as hell.
6	35	'You've hoovered him up, haven't you?' she said accusingly.
6	36	Abby's mom denied Abby's version of the story was true and said that she was careful, but because Mr. Sticky was so small he was hard to see.
6	37	'What's wrong with being small?'
6	38	'Nothing at all, but it makes things hard to find.'
6	39	'Or notice,' Abby said, suddenly feeling like the small, overlooked Mr. Sticky herself and storming from the room.
6	40	The door to the bedroom opened a few minutes later and Mom's face appeared.
6	41	She was there to try to make up for having been insensitive earlier.
6	42	She had put her work on the back burner and occupied herself with Sticky.
6	43	Abby, who was breathing fire all on account of the little snail, tried to ignore her, but it was hard when Mom walked over to the bed and sat next to her.
6	44	Mom, who Abby still strained to remain upset with, had gone out to find her glasses in order to search for Sticky more effectively.
6	45	'This is my new and extra powerful pair I have for important occasions like snail hunting,' she said.
6	46	She smiled at Abby, trying to butter her up, but Abby didn't smile back.
6	47	Abby believed her mom's idea would not succeed, but then she had an idea of her own.
6	48	'I've got a magnifying glass,' Abby suddenly remembered and rushed off to find it.
6	49	On the floor beside each other they sat, shuffling around the tank, looking all over the place and peering into the corners among the big pebbles and the pond weed.
6	50	Abby tried to imagine, if she were Sticky, a little water snail, where would she hide out?
6	51	At one point she thought she saw him, but it wasn't the water snail.
6	52	It was a large speck of dust that was deceptively bobbing around in the water like a live animal.
6	53	They were ready to call it quits, when suddenly Mom cried, 'Ah ha!'
6	54	Tucked in a curve of the archway, perfectly hidden against a pitch dark stone, sat Mr. Sticky, safe and sound.
6	55	'You, I can always count on,' Abby said to her mom, with relief.
6	56	Then she noticed another water snail was right next to Sticky and asked where this new addition to the family could have come from.
6	57	'I'm beginning to suspect the pond weed is guilty, don't you think?' replied Mom.
6	58	They both laughed and climbed into Abby's bed together and, though it was cozy, it was a bit of a squeeze.
6	59	'Budge up,' Mom said, giving Abby a push with her bottom.
6	60	'I can't because I'm already on the edge.'
6	61	'Good heavens, you've grown then.
6	62	When did that happen?
6	63	You could've put an elephant in here last time we did this.
6	64	Before I know it, you'll be all grown up.'
6	65	On her mom's chest Abby then put her head and smiled.
7	1	The text message said that Lucy Josephs was a failure.
7	2	It said she was ugly, had no style and the world hated her.
7	3	At least that was what it said to Lucy.
7	4	It said that and a whole lot more that she was struggling to understand.
7	5	The actual text of the note said that Lucy better not show up at the party tonight, because it was going to be bad enough already!
7	6	Lucy, who had started receiving these messages a few weeks ago, tapped the mobile screen to make the message disappear from view.
7	7	She only wished it was as easy to tap her heart and erase the trace the message had left there.
7	8	'Was that another one of those messages?' her mom asked, who was driving the car.
7	9	Lucy confirmed her mother's suspicion was founded as she answered dejectedly, 'I'm sorry to say it was.'
7	10	'Haven't you reported it yet?' asked Jill, Lucy's older sister who was sitting in the passenger seat.
7	11	'Yes,' Lucy replied, lying through her teeth.
7	12	That Lucy should not let the messages get to her and that the sender was only jealous were Lucy's mom's arguments, in an effort to comfort her daughter.
7	13	Lucy's mom suddenly felt guilty, for she had been the one to buy the phone for Lucy just a couple of months ago.
7	14	She then admitted her regret about the phone was still bugging her out loud as she sighed, 'I never should have given you that phone Lucy.'
7	15	'No, it's fine.
7	16	I love it,' said Lucy knowing that affording the phone had been no small thing for her mother.
7	17	It had been nothing but trouble though.
7	18	Lucy did not know who it was that was sending her the messages, and she did not know how they had got her number, but whoever it was, he or she had slowly taken over Lucy's life.
7	19	She was getting several texts a day now, all of which were abusive and hurtful.
7	20	Lucy wondered what the person who was messaging her might be thinking or trying to achieve with all of their hateful messages.
7	21	As the car pulled up outside the school, which looked like a large shadow in the darkness of a November evening, Lucy felt a shiver run down her spine.
7	22	Hastened by Jill, who did not want to be late to her own concert, Lucy hesitantly stepped out of the car and walked toward the school.
7	23	It was Jill who in her final year of high school had become involved in helping organize this year's school talent show, and she took her position very seriously.
7	24	Lucy hurried behind Jill, pulling on the worn, oversized coat that had originally belonged to Jill, in order to keep her dry as the raindrops fell all around them.
7	25	As the sisters entered the hall where the show was to take place, Jill filled with excitement while Lucy regretted that she had promised her mother she would participate in the show.
7	26	'To waste your talent would be a real shame, for you have such a beautiful voice,' her mother had argued two months back, when the concert was first announced.
7	27	Lucy had been considering it, for she did love to sing.
7	28	That very night, the first text message had come through.
7	29	'How does it feel to be tall and lanky like a giraffe?' it had asked, taking Lucy by surprise.
7	30	One of the popular girls, Lucy had always known she wasn't, but before the messages began, Lucy had always been quite proud of being a little different.
7	31	But text by text, Lucy's self-confidence had deflated and, in the end, it had taken some doing to get her to agree to perform in the show.
7	32	Now, however, Lucy had no choice but to make her way towards the stage where Jill was beckoning encouragingly to her.
7	33	She was the first performer.
7	34	Lucy, announced by her sister to the audience, was all nerves as she walked out onto the middle of the stage, where there was nothing but a microphone and her.
7	35	She heard the audience applaud and could feel a sense of anticipation emanate from the other side of the heavy curtain.
7	36	As the curtains began to part, she cast a worried look at Jill in the wings, who assured her with a positive thumbs up.
7	37	Lucy thought to herself that she could not go through with this and that she, unlike her older sister, was not confident enough to put herself before the judging audience.
7	38	The crowd looked up at her and Lucy was ready to run when the first notes of the music sounded out and a sudden calm settled over her.
7	39	She closed her eyes and shut everything out, including the audience, the nerves that threatened to take over, the text messages, and the way they made her feel.
7	40	It was just her and the music, and it was a love story that had been going on her whole life.
7	41	She began to sing, and all the pain and confusion that the messages had been causing inside her just flowed out.
7	42	The words were not important, for it was the feeling behind them that she latched onto.
7	43	Lucy was in the heart of the song with the rest of the world slipping away.
7	44	When the song finished and the last note died away, she opened her eyes.
7	45	To see the whole audience on their feet and the hall filled with cheers and applause was not what Lucy had expected.
7	46	Lucy allowed herself to enjoy the sense of achievement and belonging that she had not felt in a very long time.
7	47	Then she saw her mother, who was cheering the loudest of all in the crowd, and Jill, who was beaming at her with pride from the wings.
7	48	She knew she owed them big time for reminding her what she was capable of and who she really was.
7	49	The next time her phone bleeped she would tap the message straight into oblivion where it belonged.
